filename	size_kb	pages
Anduril_Lattice_OS_2022.pdf	2248.0	2
Army_Communicator_NGC2_Faster_Better.pdf	486.6	3
Army_Decision_Dominance_Operationalized_Data.pdf	1589.3	10
Army_Deliberate_Transformation.pdf	2243.4	6
Army_IBCS_Paradigm_Shifts.pdf	541.2	6
Army_NGC2_Muddy_Boots.pdf	1319.2	5
Army_Transformation_in_Contact.pdf	4835.4	7
DSCA_Denmark_IBCS_IFPC_25_75.pdf	140.8	2
DSCA_Denmark_IBCS_Patriot_25_51.pdf	135.2	2
DoD_Army_Transformation_and_Acquisition_Reform.pdf	105.9	4
DoD_Establishment_JIATF_401.pdf	1679.8	4
DoD_IAMD_SAR_2021.pdf	2445.2	25
Fort_Carson_Ivy_Mass_2026_Environmental_Assessment.pdf	854.2	13
JIATF_401_CUAS_Testing_Evaluation_Criteria.pdf	5051.1	25
JIATF_401_Physical_Protection_Critical_Infrastructure.pdf	724.3	3
Palantir_AIDP_AUSA.pdf	46.1	1
Palantir_Distributed_Maritime_Operations_Decision_Support.pdf	5218.9	4
Palantir_Edge_AI.pdf	2593.0	8
Palantir_Edge_AI_Autonomy.pdf	5089.5	4
Palantir_Gotham_AI_Enabled_Operations.pdf	3110.7	7
Palantir_JADC2.pdf	98.4	2
Palantir_Secure_Collaboration.pdf	810.9	4
Palantir_TITAN_AUSA.pdf	442.9	1
Palantir_Target_Workbench.pdf	1156.6	5
